city,date,hour,temperature_c,pressure_mm,is_rain
Новосибирск,2024-03-05,5,-4,748,0
Новосибирск,2024-03-05,6,-4,748,0
Новосибирск,2024-03-05,7,-4,750,0
Новосибирск,2024-03-05,8,-4,748,0
Новосибирск,2024-03-05,9,-4,748,0
Новосибирск,2024-03-05,10,-4,750,0
Новосибирск,2024-03-05,11,-4,748,0
Новосибирск,2024-03-05,12,-4,748,0
Новосибирск,2024-03-05,13,-4,750,0
Новосибирск,2024-03-05,14,-4,748,0
Новосибирск,2024-03-05,15,-5,748,0
Новосибирск,2024-03-05,16,-4,749,0
Новосибирск,2024-03-05,17,-4,747,0
Новосибирск,2024-03-05,18,-4,747,0
Новосибирск,2024-03-05,19,-4,749,0
Новосибирск,2024-03-05,20,-4,748,0
Новосибирск,2024-03-05,21,-4,747,0
Новосибирск,2024-03-05,22,-4,749,0
Новосибирск,2024-03-05,23,-4,748,0
Новосибирск,2024-03-06,0,-4,748,0
Новосибирск,2024-03-06,1,-3,750,0
